Año;Localidades;Proyecto;Categoria;Votos;Presupuesto;Ganador_bin
2022;Vicente López;Rotary Club de Vicente López;Deporte;301;3500000;1
2022;Vicente López;Club de Caza Pesca y Náutica Belgrano;Deporte;289;6000000;0
2022;Vicente López;Instalación de semáforo peatonal con contador;Movilidad;259;2196000;0
2022;Vicente López;Instalación de cruce de semáforos;Movilidad;240;4188000;0
2022;Vicente López;Demarcación de estacionamiento prioritario;Movilidad;208;730000;1
2022;Vicente López;Reductores de velocidad;Movilidad;203;3320000;0
2023;Villa Martelli;Club Laprida;Deporte;1114;10000000;1
2023;Villa Martelli;Escuela Primaria Nº 7 (Provincial);Educación;898;10000000;1
2023;Villa Martelli;Sociedad de Fomento Barrio Gaynor;Social;650;10000000;1
2023;Villa Martelli;Escuela Secundaria Nº 2 (Provincial);Educación;500;10000000;0
2023;Villa Martelli;Arbolado en Martelli;Cultura;488;3375000;1
2023;Villa Martelli;Centro de Fomento Cultural y Deportivo M M Padilla;Cultura;424;6000000;1
2023;Villa Martelli;Jardín de Infantes Nº 904 (Provincial);Educación;381;6600000;0
2023;Villa Martelli;Socie de Martelli 2023;Cultura;361;10000000;1
2023;Villa Martelli;Jardín de Infantes Nº 918 (Provincial);Educación;339;3200000;0
2023;Villa Martelli;Instalación cruce de semáforos y medidas de seguridad vial;Salud;293;9500000;0
2023;Villa Martelli;Escuela 20 Aires Acondicionados (Provincial);Educación;181;10000000;0
2023;Villa Martelli;Centro de Jubilados y Pensionados Amigos de Padilla;Social;170;250000;1
2023;Villa Martelli;Manos a la masa;Otros/Varios;148;1100000;1
2023;Villa Martelli;Club de Leones de Villa Martelli;Cultura;134;10000000;0
2023;Villa Martelli;Asociación Camino;Social;127;6500000;0
2023;Villa Martelli;Restaurando mi hogar;Social;114;10000000;0
2023;Villa Martelli;Unión Vecinal de Socorros Mutuos;Social;113;10000000;0
2023;Villa Martelli;Reductores de velocidad;Movilidad;92;812500;1
2023;Villa Martelli;Amigos, Comerciantes e Industriales de Villa Martelli;Cultura;70;8000000;0
2023;Florida Oeste;Seguridad en mi Barrio;Salud;1410;4400000;1
2023;Florida Oeste;Las Flores mi barrio, mi hogar.;Social;1330;10000000;1
2023;Florida Oeste;Florida Club;Deporte;834;10000000;1
2023;Florida Oeste;Biblioteca Nora Bombelli;Cultura;751;10000000;1
2023;Florida Oeste;Club Unión Florida;Deporte;750;10000000;1
2023;Florida Oeste;Jardín de Infantes Nº 908 (Provincial);Educación;370;10000000;1
2023;Florida Oeste;Sociedad de Fomento 9 de Julio;Social;318;6400000;0
2023;Florida Oeste;Jardín de Infantes Nº 912 (Provincial);Educación;300;6500000;0
2023;Florida Oeste;Centro de Jubilados y pensionados Amigos de Florida;Social;240;8000000;0
2023;Florida Oeste;La ecología empieza por casa;Medio Ambiente;196;1800000;0
2023;Florida Oeste;Centro de Jubilados Amor y Amistad;Social;168;10000000;0
2023;Florida Oeste;Cestos de residuos;Medio Ambiente;164;3500000;0
2023;Florida Oeste;Rampas en esquinas;Reparaciones/Obra;147;6600000;0
2023;Florida Oeste;Punto seguro;Seguridad;145;10000000;0
2023;Florida Oeste;Asociación Emprender;Social;135;10000000;0
2023;Florida Oeste;Reductores de velocidad y demarcación de sendas peatonales;Movilidad;114;7400000;0
2023;Munro;Mi barrio más limpio;Espacio Público;1509;10000000;1
2023;Munro;Grupo Scout San Jorge Mártir;Social;870;5400000;1
2023;Munro;Jardín de Infantes Nº 914 (Provincial);Educación;809;10000000;1
2023;Munro;Federación Convivir;Otros/Varios;755;10000000;1
2023;Munro;Olivos Rugby Club;Deporte;567;10000000;1
2023;Munro;Sociedad de Fomento Grossville;Social;539;10000000;1
2023;Munro;Agrupación Jubilados Rivadavia. Por un mejor techo!;Reparaciones/Obra;460;4900000;1
2023;Munro;Mejorar el aire que respiramos y reducir el ruido ambiental;Medio Ambiente;445;3375000;1
2023;Munro;Club Social y Deportivo Vélez Sarsfield;Deporte;438;10000000;0
2023;Munro;Instituto Superior de Formación Técnica Nº 220 (Provincial);Educación;421;8000000;0
2023;Munro;Cestos de residuos;Medio Ambiente;386;9375000;0
2023;Munro;Escuela Especial Nº 503 (Provincial);Educación;368;8800000;0
2023;Munro;Escuela Especial N° 504 (Provincial) Nos conectamos con el mundo;Educación;294;10000000;0
2023;Munro;ISFT Nº 77 (Provincial) - Educación ambientada en entornos 2.0;Educación;273;10000000;0
2023;Munro;Pongamos linda la Escuelita;Educación;255;8100000;0
2023;Munro;Asociación Peldaños: mejorar la accesibilidad a la sede;Movilidad;245;10000000;0
2023;Munro;Rampas en esquinas;Reparaciones/Obra;221;9300000;0
2023;Munro;Punto seguro;Seguridad;198;10000000;0
2023;Munro;Semáforo en Carlos Calvo y Albarellos;Movilidad;176;10000000;0
